Address,Category,SubCategory,Name,Url,UrlImage,Price,PriceWithoutDiscount
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,Бальзам для губ Самокат Lip Treatment 12 мл,https://samokat.ru/product/4d2842ae-ce07-11ed-b109-08c0eb31fffb,https://cm.samokat.ru/processed/m/product_card/1694502298-2200801000003.jpg,149,189
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,Бальзам для губ Самокат Mango Care 12 мл,https://samokat.ru/product/balzam-dlya-gub-samokat-mango-care-12-ml,https://cm.samokat.ru/processed/m/product_card/1694502321-2200800000004.jpg,149,189
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Бальзам для губ Чистая линия ромашка, сок алоэ, 3 в 1, питание, увлажнение, смягчение, 4 г",https://samokat.ru/product/balzam-dlya-gub-chistaya-liniya-romashka-sok-aloe-3-v-1-pitanie-uvlazhnenie-smyagchenie-4-g,https://cm.samokat.ru/processed/m/original/142941_908528965.jpg,199,199
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для лица,"Бальзам для губ Carmex, SPF 15, вишня, 4,25 г",https://samokat.ru/product/54b22cc2-f64d-11ed-885e-08c0eb32014b,https://cm.samokat.ru/processed/m/product_card/2a56adbc-faa0-4640-9b04-2ec284307078.jpg,242,314
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,"Гель для тела Holika Holika Aloe 99%, многофункциональный, 250 мл",https://samokat.ru/product/gel-dlya-tela-holika-holika-aloe-99percent-mnogofunkcionalnyj-250-ml,https://cm.samokat.ru/processed/m/public/b81c4413741322bb_8806334370435.jpg,440,830
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,"Лосьон для тела Dove, Сияние лета, с эффектом автозагара, увлажняющий, 200 мл",https://samokat.ru/product/27acc8a6-c271-11ed-885d-08c0eb32014b,https://cm.samokat.ru/processed/m/public/791674cd37775551_8720633006737.jpg,299,498
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,Крем для тела Самокат Папайя и кокос 300 мл,https://samokat.ru/product/krem-dlya-tela-samokat-papajya-i-kokos-300-ml,https://cm.samokat.ru/processed/m/public/21291182e1e8a4f9_2200806000008.jpeg,455,599
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,Крем для рук Самокат Жасмин-сандал 30 мл,https://samokat.ru/product/krem-dlya-ruk-samokat-zhasmin-sandal-30-ml,https://cm.samokat.ru/processed/m/public/56e3016487bd20e5_2200805000009.jpg,109,139
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,Крем для рук Самокат Ветивер-зелёный чай 30 мл,https://samokat.ru/product/67717063-ce07-11ed-b109-08c0eb31fffb,https://cm.samokat.ru/processed/m/public/f7aef84312608ac0_2200803000001.jpg,109,139
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,"Крем для рук и тела Ecolatier SOS Глубокое питание, марула, орех кукуи и пантенол, 400 мл",https://samokat.ru/product/deb9c7df-4dce-11ec-a0ee-ec0d9a21b021,https://cm.samokat.ru/processed/m/public/f013133a0e6a1ee5_4620046171968.jpg,479,599
